,Chart position,Track name,Artist name,Genre,Beats per minute,Energy,Danceability,Valence,Length,Followers,Picture
0,1,Señorita,Shawn mendes,Canadian pop,117,55,76,75,191,29701495,https://i.scdn.co/image/809b93c47fca237138e53968d86682f09d0f45a2
1,2,China,Anuel aa,Reggaeton flow,105,81,79,61,302,14836789,https://i.scdn.co/image/2a45c88705c1fb6aac429a40b45f044373e5acfd
2,3,Boyfriend (with social house),Ariana grande,Dance pop,190,80,40,70,186,52450478,https://i.scdn.co/image/f8c793519d837ca2f920c561535fe62ef32e8e5b
3,4,Beautiful people (feat. khalid),Ed sheeran,Pop,93,65,64,55,198,71661189,https://i.scdn.co/image/f55cab0739390cf3b2c2f773b9c779b2f0ae8a99
4,5,Goodbyes (feat. young thug),Post malone,Dfw rap,150,65,58,18,175,29115825,https://i.scdn.co/image/93fec27f9aac86526b9010e882037afbda4e3d5f
5,6,I don't care (with justin bieber),Ed sheeran,Pop,102,68,80,84,220,71661189,https://i.scdn.co/image/f55cab0739390cf3b2c2f773b9c779b2f0ae8a99
6,7,Ransom,Lil tecca,Trap music,180,64,75,23,131,3004490,https://i.scdn.co/image/e6b20ef3bab6c621edba47c620fd3386e09b6390
7,8,How do you sleep?,Sam smith,Pop,111,68,48,35,202,14275643,https://i.scdn.co/image/33912eaecd7c96d5380ea499cb662dd543315129
8,9,Old town road - remix,Lil nas x,Country rap,136,62,88,64,157,3618346,https://i.scdn.co/image/12d5ab979779aa41e697ce823328d527e643e4cf
9,10,Bad guy,Billie eilish,Electropop,135,43,70,56,194,34581338,https://i.scdn.co/image/022d340319cc6c57ed953075f4c7a2d3346669af
10,11,Callaita,Bad bunny,Reggaeton,176,62,61,24,251,26163027,https://i.scdn.co/image/23009960c33ef08d5973440cca17985a6c70a515
11,12,Loco contigo (feat. j. balvin & tyga),Dj snake,Dance pop,96,71,82,38,185,7096834,https://i.scdn.co/image/3b232935a2d2dc1fcc3bfd8db2d6be58292b2317
12,13,Someone you loved,Lewis capaldi,Pop,110,41,50,45,182,5611488,https://i.scdn.co/image/5ed13d249e562fea4e296aaeb745ce06d27ec88f
13,14,Otro trago - remix,Sech,Panamanian pop,176,79,73,76,288,6032870,https://i.scdn.co/image/5d8513b9cb8ab6918296feec6a3bb18fdd526568
14,15,Money in the grave (drake ft. rick ross),Drake,Canadian hip hop,101,50,83,10,205,50541059,https://i.scdn.co/image/60cfab40c6bb160a1906be45276829d430058005
15,16,No guidance (feat. drake),Chris brown,Dance pop,93,45,70,14,261,12503558,https://i.scdn.co/image/e153d6448b17ce97b2a79da70d64b89230c67053
16,17,La canción,J balvin,Latin,176,65,75,43,243,23639086,https://i.scdn.co/image/c197cd71445eedb25326f490130581b0718def85
17,18,Sunflower - spider-man: into the spider-verse,Post malone,Dfw rap,90,48,76,91,158,29115825,https://i.scdn.co/image/93fec27f9aac86526b9010e882037afbda4e3d5f
18,19,Lalala,Y2k,Canadian hip hop,130,39,84,50,161,248554,https://i.scdn.co/image/10df130e3c229399bcecc55ce0eda289b60e0047
19,20,Truth hurts,Lizzo,Escape room,158,62,72,41,173,3300072,https://i.scdn.co/image/e33e4245fe5901ed940ba95070bb8d56679b6fe0
20,21,Piece of your heart,Meduza,Pop house,124,74,68,63,153,328806,https://i.scdn.co/image/454d264e5ba4e1bdd945d85494d3516cb4c278a4
21,22,Panini,Lil nas x,Country rap,154,59,70,48,115,3618346,https://i.scdn.co/image/12d5ab979779aa41e697ce823328d527e643e4cf
22,23,No me conoce - remix,Jhay cortez,Reggaeton flow,92,79,81,58,309,1362047,https://i.scdn.co/image/413551bc8730d2710cbccfaac980fa51c4f7d55f
23,24,Soltera - remix,Lunay,Latin,92,78,80,80,266,3287041,https://i.scdn.co/image/701381c2a3b05e0964ea62ae0490b625ad67e84d
24,25,Bad guy (with justin bieber),Billie eilish,Electropop,135,45,67,68,195,34581338,https://i.scdn.co/image/022d340319cc6c57ed953075f4c7a2d3346669af
25,26,If i can't have you,Shawn mendes,Canadian pop,124,82,69,87,191,29701495,https://i.scdn.co/image/809b93c47fca237138e53968d86682f09d0f45a2
26,27,Dance monkey,Tones and i,Australian pop,98,59,82,54,210,2268734,https://i.scdn.co/image/e7b6b3347af1ccfc7c66f8f0fb4eb52c5218b6ce
27,28,It's you,Ali gatie,Canadian hip hop,96,46,73,40,213,1406679,https://i.scdn.co/image/087ca632c220ced89cdfa098cbd2494fce10d41a
28,29,Con calma,Daddy yankee,Latin,94,86,74,66,193,20614030,https://i.scdn.co/image/f03d0c7a47bf08cb4ae8de345521346553bc015f
29,30,Que pretendes,J balvin,Latin,93,79,64,94,222,23639086,https://i.scdn.co/image/c197cd71445eedb25326f490130581b0718def85
30,31,Takeaway,The chainsmokers,Edm,85,51,29,36,210,16919076,https://i.scdn.co/image/960547a625bc2eb742bb3dd170cbc049d2e94cf9
31,32,7 rings,Ariana grande,Dance pop,140,32,78,33,179,52450478,https://i.scdn.co/image/f8c793519d837ca2f920c561535fe62ef32e8e5b
32,33,0.958333333333333,Maluma,Reggaeton,96,71,78,68,176,21586397,https://i.scdn.co/image/0b6f5467bbde78796b33d8eed85157620b3080cc
33,34,The london (feat. j. cole & travis scott),Young thug,Atl hip hop,98,59,80,18,200,5639547,https://i.scdn.co/image/69ef089edd03d6d5455ed61e96d27c7f5b995434
34,35,Never really over,Katy perry,Dance pop,100,88,77,39,224,16570488,https://i.scdn.co/image/ecebace064c7a48b7ae4a611b82887aa79163c1e
35,36,Summer days (feat. macklemore & patrick stump of fall out boy),Martin garrix,Big room,114,72,66,32,164,13872670,https://i.scdn.co/image/19b193e731a99776449d2b06742942e1e1f58fb2
36,37,Otro trago,Sech,Panamanian pop,176,70,75,62,226,6032870,https://i.scdn.co/image/5d8513b9cb8ab6918296feec6a3bb18fdd526568
37,38,Antisocial (with travis scott),Ed sheeran,Pop,152,82,72,91,162,71661189,https://i.scdn.co/image/f55cab0739390cf3b2c2f773b9c779b2f0ae8a99
38,39,Sucker,Jonas brothers,Boy band,138,73,84,95,181,4646014,https://i.scdn.co/image/81415a47bf49148ed333cba4765551f4da5d7d30
39,40,"Fuck, i'm lonely (with anne-marie) - from “13 reasons why: season 3”",Lauv,Dance pop,95,56,81,68,199,3575981,https://i.scdn.co/image/dbdab49163d4d94c643c58944943bcf5689954d0
40,41,Higher love,Kygo,Edm,104,68,69,40,228,6849753,https://i.scdn.co/image/eee84c026e93f6d970fdc82c5010c45219530577
41,42,You need to calm down,Taylor swift,Dance pop,85,68,77,73,171,33421356,https://i.scdn.co/image/a37efbc7fd3f5f5df81b48ce9c6de53820b239c1
42,43,Shallow,Lady gaga,Dance pop,96,39,57,32,216,14394953,https://i.scdn.co/image/1f4c23aa943d8eafc17e9f02e0cb1ffc3ac49d37
43,44,Talk,Khalid,Pop,136,40,90,35,198,12809749,https://i.scdn.co/image/05da6a798c59e8ab7102d77c8deb79d67a1360ed
44,45,Con altura,Rosalía,R&b en espanol,98,69,88,75,162,4203430,https://i.scdn.co/image/5add45e660b6507d66d5bd7cb07942ecdad01e4e
45,46,One thing right,Marshmello,Brostep,88,62,66,44,182,27614655,https://i.scdn.co/image/80537745bb00731ffd638b8a64f208b3f86a7332
46,47,Te robaré,Nicky jam,Latin,176,75,67,80,202,13085694,https://i.scdn.co/image/e2cc83fdb16667b0cc6c011da4747adedc759185
47,48,Happier,Marshmello,Brostep,100,79,69,67,214,27614655,https://i.scdn.co/image/80537745bb00731ffd638b8a64f208b3f86a7332
48,49,Call you mine,The chainsmokers,Edm,104,70,59,50,218,16919076,https://i.scdn.co/image/960547a625bc2eb742bb3dd170cbc049d2e94cf9
49,50,Cross me (feat. chance the rapper & pnb rock),Ed sheeran,Pop,95,79,75,61,206,71661189,https://i.scdn.co/image/f55cab0739390cf3b2c2f773b9c779b2f0ae8a99
